Generation #0
100110100001 - value: 24, fitness: 24, weight: 250
000001100110 - value: 24, fitness: 24, weight: 140
001100000100 - value: 24, fitness: 24, weight: 170
001101000000 - value: 24, fitness: 24, weight: 220
000001100110 - value: 24, fitness: 24, weight: 140
000010101101 - value: 24, fitness: 24, weight: 230
001100000100 - value: 24, fitness: 24, weight: 170
001100000100 - value: 24, fitness: 24, weight: 170
100110100001 - value: 24, fitness: 24, weight: 250
010001000100 - value: 23, fitness: 23, weight: 120
110100100001 - value: 23, fitness: 23, weight: 230
100010011010 - value: 23, fitness: 23, weight: 190
000010101100 - value: 23, fitness: 23, weight: 170
010110010000 - value: 23, fitness: 23, weight: 200
101000110000 - value: 23, fitness: 23, weight: 140
010000101100 - value: 22, fitness: 22, weight: 150
110100001000 - value: 22, fitness: 22, weight: 210
010000010111 - value: 22, fitness: 22, weight: 160
001001100001 - value: 22, fitness: 22, weight: 220
000111000000 - value: 22, fitness: 22, weight: 210
000100111010 - value: 22, fitness: 22, weight: 240
100000100111 - value: 22, fitness: 22, weight: 150
011001000000 - value: 22, fitness: 22, weight: 160
000111000000 - value: 22, fitness: 22, weight: 210
000110000100 - value: 22, fitness: 22, weight: 160
101100000001 - value: 22, fitness: 22, weight: 230
010010011010 - value: 22, fitness: 22, weight: 200
011001000000 - value: 22, fitness: 22, weight: 160
010000101100 - value: 22, fitness: 22, weight: 150
101100000001 - value: 22, fitness: 22, weight: 230
110100001000 - value: 22, fitness: 22, weight: 210
100010000101 - value: 22, fitness: 22, weight: 150
100010000101 - value: 22, fitness: 22, weight: 150
000110000100 - value: 22, fitness: 22, weight: 160
110000101011 - value: 22, fitness: 22, weight: 230
100011000000 - value: 21, fitness: 21, weight: 140
010000001111 - value: 21, fitness: 21, weight: 200
000010010101 - value: 21, fitness: 21, weight: 160
001010010010 - value: 21, fitness: 21, weight: 160
011000101000 - value: 21, fitness: 21, weight: 190
010001001011 - value: 21, fitness: 21, weight: 250
010000001111 - value: 21, fitness: 21, weight: 200
010000001111 - value: 21, fitness: 21, weight: 200
010000010101 - value: 20, fitness: 20, weight: 140
010000010101 - value: 20, fitness: 20, weight: 140
100100001010 - value: 19, fitness: 19, weight: 200
100100001010 - value: 19, fitness: 19, weight: 200
100000100100 - value: 19, fitness: 19, weight: 70
010001001000 - value: 18, fitness: 18, weight: 170
100010010000 - value: 17, fitness: 17, weight: 100
011000100000 - value: 17, fitness: 17, weight: 120
010010010000 - value: 16, fitness: 16, weight: 110
010010100000 - value: 15, fitness: 15, weight: 110
010000110000 - value: 14, fitness: 14, weight: 90
010000110000 - value: 14, fitness: 14, weight: 90
100000010000 - value: 11, fitness: 11, weight: 50
